"STOP_LOCATION_BLOCK","match_status","match_type","GEOID"
"2400 BLOCK OF MARTIN LUTHER KING JR AVENUE SE WASHINGTON, DC 20020 UNITED STATES","No_Match","",NA
"1300 BLOCK OF 5TH STREET NW WASHINGTON, DC 20001 UNITED STATES","Match","Non_Exact","11001009601"
"2400 BLOCK OF HARTFORD STREET SE WASHINGTON, DC 20020 UNITED STATES","Match","Non_Exact","11001007903"
"600 BLOCK OF KENNEDY STREET NW WASHINGTON, DC 20011 UNITED STATES","Match","Exact","11001007901"
"2800 BLOCK OF HARTFORD STREET SE WASHINGTON, DC 20020 UNITED STATES","Match","Non_Exact","11001007806"
"2900 BLOCK OF KNOX PLACE SE WASHINGTON, DC 20020 UNITED STATES","Match","Non_Exact","11001009301"
"1800 BLOCK OF 9TH STREET NW WASHINGTON, DC 20001 UNITED STATES","Match","Non_Exact","11001009907"
"900 BLOCK OF RHODE ISLAND AVENUE NW WASHINGTON, DC 20001 UNITED STATES","Match","Non_Exact","11001007601"
"500 BLOCK OF H STREET NW WASHINGTON, DC 20001 UNITED STATES","No_Match","",NA
"1400 BLOCK OF OKIE STREET NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001007707"
"100 BLOCK OF U STREET NW WASHINGTON, DC 20001 UNITED STATES","Match","Non_Exact","11001002504"
"1800 BLOCK OF WILTBERGER STREET NW WASHINGTON, DC 20001 UNITED STATES","Match","Non_Exact","11001007504"
"1800 BLOCK OF ALABAMA AVENUE SE WASHINGTON, DC 20020 UNITED STATES","Match","Non_Exact","11001007407"
"1300 BLOCK OF KENYON STREET NW WASHINGTON, DC 20010 UNITED STATES","Match","Non_Exact","11001004802"
"1400 BLOCK OF 29TH STREET SE WASHINGTON, DC 20020 UNITED STATES","Match","Non_Exact","11001007408"
"200 BLOCK OF 37TH PLACE SE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001002101"
"600 BLOCK OF MORTON STREET NW WASHINGTON, DC 20010 UNITED STATES","Match","Non_Exact","11001007502"
"1400 BLOCK OF SAVANNAH STREET SE WASHINGTON, DC 20032 UNITED STATES","Match","Non_Exact","11001007502"
"K STREET NW & 16TH STREET NW WASHINGTON, DC 20006 UNITED STATES","Match","Non_Exact","11001004402"
"VIRGINIA AVENUE SE & 3RD STREET SE WASHINGTON, DC 20003 UNITED STATES","Match","Non_Exact","11001004901"
"2200 BLOCK OF I STREET NW WASHINGTON, DC 20037 UNITED STATES","Match","Non_Exact","11001005801"
"UNIT BLOCK OF UNDERWOOD STREET NW WASHINGTON, DC 20012 UNITED STATES","Match","Non_Exact","11001008803"
"3600 BLOCK OF GEORGIA AVENUE NW WASHINGTON, DC 20010 UNITED STATES","Match","Non_Exact","11001003301"
"4200 BLOCK OF 4TH STREET SE WASHINGTON, DC 20032 UNITED STATES","Match","Non_Exact","11001004801"
"3800 BLOCK OF 9TH STREET SE WASHINGTON, DC 20032 UNITED STATES","Match","Non_Exact","11001007404"
"3900 BLOCK OF 12TH STREET NE WASHINGTON, DC 20017 UNITED STATES","Match","Non_Exact","11001003000"
"1300 BLOCK OF 2ND STREET NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001007709"
"UNIT BLOCK OF NEW YORK AVENUE NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001007703"
"5300 BLOCK OF JAY STREET NE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001003200"
"100 BLOCK OF 54TH STREET SE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001007304"
"1000 BLOCK OF F STREET NW WASHINGTON, DC 20004 UNITED STATES","Match","Exact","11001010100"
"4700 BLOCK OF FOOTE STREET NE WASHINGTON, DC 20019 UNITED STATES","Match","Exact","11001007203"
"1600 BLOCK OF TRINIDAD AVENUE NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001010800"
"1900 BLOCK OF 12TH STREET NW WASHINGTON, DC 20009 UNITED STATES","No_Match","",NA
"500 BLOCK OF 12TH STREET SE WASHINGTON, DC 20003 UNITED STATES","No_Match","",NA
"53RD PLACE SE & EAST CAPITOL STREET WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001009811"
"2500 BLOCK OF ELVANS ROAD SE WASHINGTON, DC 20020 UNITED STATES","Match","Non_Exact","11001009801"
"2500 BLOCK OF POMEROY ROAD SE WASHINGTON, DC 20020 UNITED STATES","Match","Non_Exact","11001008903"
"4000 BLOCK OF MINNESOTA AVENUE NE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001009504"
"3900 BLOCK OF MARTIN LUTHER KING JR AVENUE SW WASHINGTON, DC 20032 UNITED STATES","Match","Non_Exact","11001010601"
"UNIT BLOCK OF RIDGE SQUARE NW WASHINGTON, DC 20016 UNITED STATES","No_Match","",NA
"1700 BLOCK OF MARYLAND AVENUE NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001007807"
"4400 BLOCK OF B STREET SE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001009903"
"4900 BLOCK OF JAY STREET NE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001005802"
"5000 BLOCK OF BASS PLACE SE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001007804"
"1200 BLOCK OF 18TH PLACE NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001008804"
"1200 BLOCK OF GOOD HOPE ROAD SE WASHINGTON, DC 20020 UNITED STATES","Match","Non_Exact","11001008402"
"1000 BLOCK OF 1ST PL NW WASHINGTON, DC 20001 UNITED STATES","Match","Non_Exact","11001002301"
"1100 BLOCK OF BLADENSBURG ROAD NE WASHINGTON, DC 20002 UNITED STATES","Match","Exact","11001005502"
"UNIT BLOCK OF HANOVER PLACE NW WASHINGTON, DC 20001 UNITED STATES","Match","Non_Exact","11001008410"
"1600 BLOCK OF GOOD HOPE ROAD SE WASHINGTON, DC 20020 UNITED STATES","Match","Non_Exact","11001008802"
"BRANDYWINE STREET NW & 32ND STREET NW WASHINGTON, DC 20008 UNITED STATES","Match","Non_Exact","11001008804"
"1500 BLOCK OF W STREET SE WASHINGTON, DC 20020 UNITED STATES","Match","Non_Exact","11001008904"
"5200 BLOCK OF NORTH CAPITOL STREET NW WASHINGTON, DC 20011 UNITED STATES","Match","Non_Exact","11001010202"
"1900 BLOCK OF 2ND STREET NW WASHINGTON, DC 20001 UNITED STATES","Match","Non_Exact","11001004401"
"3700 BLOCK OF NEW HAMPSHIRE AVENUE NW WASHINGTON, DC 20010 UNITED STATES","Match","Non_Exact","11001005802"
"1400 BLOCK OF QUINCY STREET NW WASHINGTON, DC 20011 UNITED STATES","Match","Non_Exact","11001002503"
"200 BLOCK OF 56TH STREET NE WASHINGTON, DC 20019 UNITED STATES","Match","Exact","11001007203"
"1300 BLOCK OF NEWTON STREET NW WASHINGTON, DC 20010 UNITED STATES","Match","Non_Exact","11001002504"
"3400 BLOCK OF 14TH STREET NW WASHINGTON, DC 20010 UNITED STATES","No_Match","",NA
"GRANT CIRCLE NW & NEW HAMPSHIRE AVENUE NW WASHINGTON, DC 20011 UNITED STATES","Match","Non_Exact","11001007808"
"1400 BLOCK OF CORCORAN STREET NW WASHINGTON, DC 20009 UNITED STATES","Match","Non_Exact","11001002900"
"1700 BLOCK OF U STREET NW WASHINGTON, DC 20009 UNITED STATES","No_Match","",NA
"1600 BLOCK OF W STREET SE WASHINGTON, DC 20020 UNITED STATES","Tie","",NA
"1500 BLOCK OF F STREET NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001005202"
"1300 BLOCK OF K STREET SE WASHINGTON, DC 20003 UNITED STATES","Match","Non_Exact","11001004201"
"1700 BLOCK OF EUCLID STREET NW WASHINGTON, DC 20009 UNITED STATES","Match","Non_Exact","11001007504"
"100 BLOCK OF M STREET SW WASHINGTON, DC 20024 UNITED STATES","Match","Non_Exact","11001007901"
"4300 BLOCK OF HUNT PLACE NE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001007601"
"1700 BLOCK OF 1ST STREET NW WASHINGTON, DC 20001 UNITED STATES","No_Match","",NA
"16TH STREET NE & LEVIS STREET NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001008804"
"UNIT BLOCK OF BRYANT STREET NE WASHINGTON, DC 20002 UNITED STATES","No_Match","",NA
"1200 BLOCK OF U STREET NW WASHINGTON, DC 20009 UNITED STATES","Match","Non_Exact","11001007605"
"1200 BLOCK OF LONGFELLOW STREET NW WASHINGTON, DC 20011 UNITED STATES","Match","Exact","11001001301"
"100 BLOCK OF RIDGE ROAD SE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001007503"
"900 BLOCK OF UPSHUR STREET NW WASHINGTON, DC 20011 UNITED STATES","Match","Non_Exact","11001002102"
"5600 BLOCK OF CLAY PLACE NE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001003400"
"300 BLOCK OF 50TH STREET NE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001007100"
"1700 BLOCK OF BENNING ROAD NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001003802"
"3900 BLOCK OF SOUTH CAPITOL STREET SW WASHINGTON, DC 20032 UNITED STATES","Match","Non_Exact","11001006400"
"3500 BLOCK OF AMES STREET NE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001007803"
